campaign_name,campaign_desc,date,category,promo_content,target_count,est_cost,bottom_link1,bottom_link2,link1,link2,link3,link4
MayRecruitment,모집 기간 안내,2025-04-12,web_sms,5월학기 모집 마감 D-5 ON 영상,5359,176847,youtube,,https://youtube.com/shorts/7Ms-aMidExc?si=x2wqTgATKQge73Gt,,,
MayRecruitment,모집 기간 안내,2025-04-14,web_sms,퍼플아카데미 학습플랫폼 개편 홍보,2010,66330,website_notice,,https://www.purpleacademy.co.kr/home/sub_notice_view/2640,,,
Miracle_01,4월 15일~28일 미라클 1기 모집 기간,2025-04-15,web_sms,퍼플잉글리시 미라클 1기 홍보,1324,43692,youtube,,https://www.youtube.com/watch?v=5O17OhWSMnE,,,
MayRecruitment,모집 기간 안내,2025-04-15,web_sms,5월학기 모집 마감 D-2,5351,176583,youtube,website_admission,https://www.youtube.com/live/KJzdcm6uZ9Q?si=cf5AwW2cW_oISSCk,https://www.youtube.com/live/5_gAL8D-ts8?si=zQwnYYixWvo7a-ah,https://www.youtube.com/live/XCI7yJpd9X0?si=TQXgkgp3y9_BrZ72,https://purpleacademy.net/admission
MayRecruitment,모집 기간 안내,2025-04-15,web_sms,모집 마감 단문 홍보 D-2,5351,176583,website_admission,,https://purpleacademy.net/admission,,,
MayRecruitment,모집 기간 안내,2025-04-16,web_sms,5월학기 모집 마감 D-1,5384,177672,youtube,,unknown,,,
MayRecruitment,모집 기간 안내,2025-04-17,web_sms,5월학기 모집 마감 D-day,5340,176220,,,,,,
Facebook,페이스북 광고비,2025-01-12,facebook_ad,페이스북 광고비,,1343911,,,,,,
Facebook,페이스북 광고비,2025-01-22,facebook_ad,페이스북 광고비,,1469209,,,,,,
Facebook,페이스북 광고비,2025-01-29,facebook_ad,페이스북 광고비,,1318760,,,,,,
Facebook,페이스북 광고비,2025-02-01,facebook_ad,페이스북 광고비,,267360,,,,,,
Facebook,페이스북 광고비,2025-02-04,facebook_ad,페이스북 광고비,,530552,,,,,,
Facebook,페이스북 광고비,2025-02-22,facebook_ad,페이스북 광고비,,1319490,,,,,,
Facebook,페이스북 광고비,2025-03-02,facebook_ad,페이스북 광고비,,779345,,,,,,
Facebook,페이스북 광고비,2025-03-11,facebook_ad,페이스북 광고비,,1335892,,,,,,
Facebook,페이스북 광고비,2025-03-19,facebook_ad,페이스북 광고비,,1492997,,,,,,
Facebook,페이스북 광고비,2025-03-24,facebook_ad,페이스북 광고비,,1352112,,,,,,
Facebook,페이스북 광고비,2025-03-29,facebook_ad,페이스북 광고비,,74285,,,,,,
Facebook,페이스북 광고비,2025-03-29,facebook_ad,페이스북 광고비,,1499208,,,,,,
Facebook,페이스북 광고비,2025-03-31,facebook_ad,페이스북 광고비,,357598,,,,,,
Facebook,페이스북 광고비,2025-04-05,facebook_ad,페이스북 광고비,,1618501,,,,,,
